Sigla,Name,Índice-__H,level
INFOCOM,Annual Joint Conference of the IEEE Computer and Communications Societies,204,7
SIGMOD,ACM SIGMOD International Conference on Management of Data Conference,151,7
CHI,Conference on Human Factors in Computing Systems,147,7
WWW,International World Wide Web Conference,145,7
ICSE,ACM/IEEE International Conference on Software Engineering,117,7
ISCA,ACM International Symposium on Computer Architecture,110,7
DAC,Design Automation Conference,102,7
PLDI,ACM SIGPLAN conference on Programming Language Design and Implementation,98,7
HICSS,Annual Hawaii International Conference on System Sciences,97,7
FOCS,IEEE Symposium on Foundations of Computer Science,94,7
IMC,ACM SIGCOMM Internet Measurement Conference,93,7
IMC,International Semantic Web Conference,89,7
POPL,ACM SIGPLAN-SIGACT Symposium on Principles of Programming Languages,89,7
MICRO,International Symposium on Microarchitecture,86,7
CIKM,International Conference on Information and Knowledge Management,85,7
AAMAS,International Joint Conference on Autonomous Agents and Multiagents Systems,84,7
CAV,International Conference on Computer Aided Verification,82,7
ICPR,International Conference on Pattern Recognition,81,7
DATE,"Design, Automation and Test in Europe Conference and Exhibition",79,7
CSCW,ACM Conference on Computer Supported Cooperative Work,78,7
OOPSLA,"ACM SIGPLAN International Conference on Object-Oriented Programming, Systems, Languages, and Applications",76,7
ICCAD,International Conference on Computer-Aided Design,75,7
SIGMETRICS,ACM Conference on Measurement and Model ing of Computing Systems,73,7
ASPLOS,International Conference on Architectural Support for Programming Languages and Operating Systems,72,7
EMNLP,Conference on Empirical Methods in Natural Language Processing,72,7
TACAS,International Conference on Tools and Algorithms for the Construction and Analysis of Systems,68,7
GECCO,Genetic and Evolutionary Computation Conference,66,7
MobiSys,"International Conference on Mobile Systems, Applications, and Services",66,7
DSN,International Conference on Dependable Systems and Networks,65,7
IEEEIT,IEEE Symposium on Information Theory,63,7
ITC,International Test Conference,62,7
IUI,International Conference on Intel igent User Interfaces,62,7
ECOOP,European Conference on Object-oriented Programming,61,7
ICALP,International Col oquium on Automata Languages and Programming,61,7
SAC,ACM Symposium on Applied Computing,61,7
SInT,IEEE International Symposium on Information Theory,60,7
FSE,ACM SIGSOFT Conference on the Foundations of Software Engineering,59,7
ICWS,IEEE International Conference on Web Services,58,7
RTSS,Real Time Systems Symposium,57,7
AOSD,International Conference on Aspect-Oriented Software Development,55,7
ASE,IEEE/ACM International Conference on Automated Software Engineering,55,7
RE,IEEE International Requirements Engineering Conference,55,7
SACMAT,ACM Symposium on Access Control Models and Technologies,55,7
MODELS,ACM/IEEE International Conference on Model-Driven Engineering Languages and Systems,54,6
PerCom,Annual IEEE International Conference on Pervasive Computing and Communications,54,6
ESOP,European Symposium on Programming ETAPS,53,6
ICFP,International Conference on Functional Programming,53,6
ICSM,IEEE International Conference on Software Maintenance,53,6
PPoPP,Principles and Practice of Parallel Programming,53,6
SIGCSE,ACM Technical Symposium on Computer Science Education,53,6
ISSTA,International Symposium on Software Testing and Analysis,52,6
CAiSE,International Conference on Advanced Information Systems Engineering,51,6
BPM,International Conference in Business Process Management,49,6
DIS,Designing Interative Systems Conference,49,6
ESEC/FSE,European Software Engineering Conference and the ACM SIGSOFT Symposium on the Foundations of Software Engineering,49,6
ICAPS,International Conference on Automated Planning and Scheduling,49,6
LREC,International Conference on Language Resources and Evaluation,49,6
Middleware,ACM/IFIP/USENIX International Middleware Conference,49,6
CP,International Conference on Principles and Practice of Constraint Programming,48,6
SAS,International Static Analysis Symposium,48,6
EuroSys,European Conference on Computer Systems,47,6
ICIS,International Conference on Information Systems,47,6
ICSOC,International Conference on Service Oriented Computing,47,6
ICMI,International Conference on Multimodal Interfaces,46,6
Hypertext,ACM Conference on Hypertext and Hypermedia,45,6
ESEM,International Symposium on Empirical Software Engineering and Measurement,44,6
IWQoS,International Workshop on Quality of Service,44,6
STACS,International Symposium on Theoretical Aspects of Computer Science,44,6
ICAC,IEEE International Conference on Autonomic Computing,43,6
SPLC,Software Product Line Conference,43,6
WCRE,IEEE Working Conference on Reverse Engineering,43,6
EDOC,IEEE International Enterprise Distributed Object Computing Conference,42,6
EMSOFT,ACM Conference on Embedded Software,42,6
ER,International Conference on Conceptual Modeling,42,6
FASE,Fundamental Approaches to Software Engineering,42,6
MobileHCI,International Conference on Human-Computer Interaction with Mobile Devices and Services,42,6
CGO,IEEE/ACM International Symposium on Code Generation and Optimization,41,6
ICCD,International Conference on Computer Design,41,6
ICPC,IEEE International Conference on Program Comprehension,41,6
ISSRE,IEEE International Symposium on Software Reliability Engineering,41,6
COMPSAC,Annual International Computer Software and Applications Conference,40,6
CSMR,European Conference on Software Maintenance and Reengineering,40,6
PAM,Passive and Active Measurement Conference,40,6
ECIR,European Conference on Information Retrieval,39,6
WI,IEEE/WIC/ACM International Conference on Web Intel igence,39,6
AVI,International Working Conference on Advanced Visual Interfaces,38,6
CC,International Conference on Compiler Construction,38,6
FUZZ,IEEE International Conference on Fuzzy Systems,38,6
SSDBM,International Conference on Scientific and Statistical Database Management,38,6
SWWS,Semantic Web and Web Services,38,6
GPCE,International Conference on Generative Programming and Component Engineering,37,6
ICATPN,International Conference on the Application and Theory of Petri Nets,36,5
IJCAR,International Joint Conference on Automated Reasoning,36,5
CSCL,International Conference on Computer-Supported Col aborative Learning,35,5
FM,International Symposium on Formal Methods,35,5
ICALT,IEEE International Conference on Advanced Learning Technologies,35,5
ITiCSE,Annual Conference on Integrating Technology into Computer Science Education,35,5
SEKE,International Conference on Software Engineering and Knowledge Engineering,35,5
UMAP,"International Conference on User Modeling, Adaption and Personalization",35,5
WISE,International Conference on Web Information Systems Engineering,35,5
WSDM,International Conference on Web Search and Data Mining,35,5
LCTES,"ACM SIGPLAN/SIGBED Conference on Languages, Compilers, Tools and Theory for Embedded Systems",34,5
MCS,International Workshop on Multiple Classifier Systems,34,5
NetGames,Workshop on Network and System Support for Games,34,5
WebDB,International Workshop on the Web and Databases,34,5
ECIS,European Conference on Information Systems,33,5
EKAW,International Conference on Knowledge Engineering and Knowledge Management,33,5
FMCAD,Formal Methods in Computer Aided Design,33,5
FSTTCS,IARCS Conference on Foundations of Software Technology and Theoretical Computer Science,33,5
ISORC,IEEE International Symposium on Object-Oriented Real-Time Distributed Computing,33,5
MFCS,International Symposium on Mathematical Foundations of Computer Science,33,5
SCC,IEEE International Conference on Services Computing,33,5
SPIRE,Symposium on String Processing and Information Retrieval,33,5
AMCIS,Americas Conference on Information Systems,32,5
DocEng,ACM Symposium on Document Engineering,32,5
ISPASS,IEEE International Symposium on Performance Analysis of Systems and Software,32,5
IV,International Conference on Information Visualization,32,5
JSSPP,Workshop on Job Scheduling Strategies for Parallel Processing,32,5
LPAR,Logic Programming and Automated Reasoning,32,5
MSR,International Workshop on Mining Software Repositories,32,5
WICSA,Working IEEE/IFIP Conference on Software Architecture,32,5
WIDM,ACM International Workshop on Web Information and Data Management,32,5
SEAA,Euromicro Conference on Software Engineering and Advanced Applications,31,5
USITS,USENIX Symposium on Internet Technologies and Systems,31,5
CASCON,Annual International Conference on Computer Science and Software Engineering,30,5
EICS,The ACM SIGCHI Symposium on Engineering Interactive Computing Systems,30,5
INTERACT,IFIP TC13 International Conference on Human-Computer Interaction,30,5
ASAP,IEEE International Conference on Application-specific Systems: Architectures and Processors,29,5
ECBS,Annual IEEE International Conference and Workshop on the Engineering of Computer Based Systems,29,5
ANSS,Annual Simulation Symposium,28,5
APLAS,Asian Symposium on Programming Languages and Systems,28,5
CASE_A,IEEE Conference on Automation Science and Engineering,28,5
